icd_code,long_title,frequency
8024,Closed fracture of malar and maxillary bones,220
30520,"Cannabis abuse, unspecified",220
Z760,Encounter for issue of repeat prescription,220
29410,Dementia in conditions classified elsewhere without behavioral disturbance,219
R208,Other disturbances of skin sensation,219
4439,"Peripheral vascular disease, unspecified",219
8448,Sprains and strains of other specified sites of knee and leg,218
R6884,Jaw pain,217
1550,"Malignant neoplasm of liver, primary",216
95909,Injury of face and neck,216
430,Subarachnoid hemorrhage,215
80709,"Closed fracture of multiple ribs, unspecified",215
8026,Closed fracture of orbital floor (blow-out),215
R2681,Unsteadiness on feet,214
30981,Posttraumatic stress disorder,213
M25532,Pain in left wrist,213
D709,"Neutropenia, unspecified",213
V4987,Physical restraints status,212
R0989,Other specified symptoms and signs involving the circulatory and respiratory systems,212
25060,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",211
490,"Bronchitis, not specified as acute or chronic",211
9140,"Abrasion or friction burn of hand(s) except finger(s) alone, without mention of infection",210
T783XXA,"Angioneurotic edema, initial encounter",210
38010,"Infective otitis externa, unspecified",210
78720,"Dysphagia, unspecified",209
7140,Rheumatoid arthritis,209
5569,"Ulcerative colitis, unspecified",208
68102,Onychia and paronychia of finger,208
L03211,Cellulitis of face,208
T18128A,"Food in esophagus causing other injury, initial encounter",208
E956,Suicide and self-inflicted injury by cutting and piercing instrument,207
1749,"Malignant neoplasm of breast (female), unspecified",206
92300,Contusion of shoulder region,206
566,Abscess of anal and rectal regions,205
8082,Closed fracture of pubis,205
M329,"Systemic lupus erythematosus, unspecified",204
I4892,Unspecified atrial flutter,204
M62838,Other muscle spasm,204
8600,Traumatic pneumothorax without mention of open wound into thorax,203
E9205,Accidents caused by hypodermic needle,202
9190,"Abrasion or friction burn of other, multiple, and unspecified sites, without mention of infection",202
M5431,"Sciatica, right side",202
E9064,Bite of nonvenomous arthropod,201
R29810,Facial weakness,200
92320,Contusion of hand(s),200
4241,Aortic valve disorders,200
3510,Bell's palsy,199
V6759,Other follow-up examination,199
99676,"Other complications due to genitourinary device, implant, and graft",198
9951,"Angioneurotic edema, not elsewhere classified",198
95911,Other injury of chest wall,197
E8844,Accidental fall from bed,197
586,"Renal failure, unspecified",197
85300,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",195
M109,"Gout, unspecified",195
F410,Panic disorder [episodic paroxysmal anxiety],195
S80212A,"Abrasion, left knee, initial encounter",194
S20212A,"Contusion of left front wall of thorax, initial encounter",194
V134XXA,"Pedal cycle driver injured in collision with car, pick-up truck or van in traffic accident, initial encounter",193
R5381,Other malaise,193
96501,Poisoning by heroin,193
S80211A,"Abrasion, right knee, initial encounter",193
W268XXA,"Contact with other sharp object(s), not elsewhere classified, initial encounter",193
87363,"Open wound of tooth (broken) (fractured) (due to trauma), without mention of complication",193
E11621,Type 2 diabetes mellitus with foot ulcer,191
I6201,Nontraumatic acute subdural hemorrhage,191
J209,"Acute bronchitis, unspecified",191
87320,"Open wound of nose, unspecified site, without mention of complication",191
3489,Unspecified condition of brain,191
R4701,Aphasia,191
2971,Delusional disorder,190
92401,Contusion of hip,190
2749,"Gout, unspecified",190
C259,"Malignant neoplasm of pancreas, unspecified",190
S0121XA,"Laceration without foreign body of nose, initial encounter",189
J9601,Acute respiratory failure with hypoxia,189
Y832,"Surgical operation with anastomosis, bypass or graft as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",188
H109,Unspecified conjunctivitis,188
30001,Panic disorder without agoraphobia,187
V475XXA,"Car driver injured in collision with fixed or stationary object in traffic accident, initial encounter",187
68100,"Cellulitis and abscess of finger, unspecified",187
7856,Enlargement of lymph nodes,187
D5700,"Hb-SS disease with crisis, unspecified",187
3682,Diplopia,187
G510,Bell's palsy,186
Z944,Liver transplant status,185
87344,"Open wound of jaw, without mention of complication",185
6089,Unspecified disorder of male genital organs,184
O210,Mild hyperemesis gravidarum,184
72888,Rhabdomyolysis,184
82300,Closed fracture of upper end of tibia alone,184
B029,Zoster without complications,183
81000,"Closed fracture of clavicle, unspecified part",183
I313,Pericardial effusion (noninflammatory),182
9694,Poisoning by benzodiazepine-based tranquilizers,182
E8500,Accidental poisoning by heroin,182
N23,Unspecified renal colic,180
8409,Sprains and strains of unspecified site of shoulder and upper arm,180
J36,Peritonsillar abscess,180
V1988XA,"Pedal cyclist (driver) (passenger) injured in other specified transport accidents, initial encounter",179
9595,Finger injury,179
42090,"Acute pericarditis, unspecified",179
92420,Contusion of foot,179
7813,Lack of coordination,179
4619,"Acute sinusitis, unspecified",178
38610,"Peripheral vertigo, unspecified",177
I951,Orthostatic hypotension,177
40390,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified",177
0340,Streptococcal sore throat,177
3129,Unspecified disturbance of conduct,177
K7030,Alcoholic cirrhosis of liver without ascites,177
R45850,Homicidal ideations,177
68110,"Cellulitis and abscess of toe, unspecified",176
O200,Threatened abortion,176
I480,Paroxysmal atrial fibrillation,176
78630,"Hemoptysis, unspecified",176
9233,Contusion of finger,176
9351,Foreign body in esophagus,176
S0003XA,"Contusion of scalp, initial encounter",174
84200,"Sprain of wrist, unspecified site",174
07054,Chronic hepatitis C without mention of hepatic coma,174
O209,"Hemorrhage in early pregnancy, unspecified",173
D259,"Leiomyoma of uterus, unspecified",172
60490,"Orchitis and epididymitis, unspecified",172
Z7721,Contact with and (suspected) exposure to potentially hazardous body fluids,172
R251,"Tremor, unspecified",172
135,Sarcoidosis,172
L0231,Cutaneous abscess of buttock,171
E8810,Accidental fall from ladder,171
8260,Closed fracture of one or more phalanges of foot,171
E0076,Activities involving basketball,171
71906,"Effusion of joint, lower leg",170
R4781,Slurred speech,169
J40,"Bronchitis, not specified as acute or chronic",169
53649,Other gastrostomy complications,169
29620,"Major depressive affective disorder, single episode, unspecified",169
81200,Closed fracture of unspecified part of upper end of humerus,168
72210,Displacement of lumbar intervertebral disc without myelopathy,167
N898,Other specified noninflammatory disorders of vagina,167
I739,"Peripheral vascular disease, unspecified",167
T8189XA,"Other complications of procedures, not elsewhere classified, initial encounter",166
9957,"Other adverse food reactions, not elsewhere classified",166
78552,Septic shock,165
80502,Closed fracture of second cervical vertebra,165
53550,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage",165
N451,Epididymitis,164
E8150,Other motor vehicle traffic accident involving collision on the highway injuring driver of motor vehicle other than motorcycle,163
V4365,Knee joint replacement,163
S20211A,"Contusion of right front wall of thorax, initial encounter",162
M62830,Muscle spasm of back,162
R350,Frequency of micturition,162
F1020,"Alcohol dependence, uncomplicated",162
C7931,Secondary malignant neoplasm of brain,162
W312XXA,"Contact with powered woodworking and forming machines, initial encounter",161
I249,"Acute ischemic heart disease, unspecified",161
29570,"Schizoaffective disorder, unspecified",161
I429,"Cardiomyopathy, unspecified",161
S61411A,"Laceration without foreign body of right hand, initial encounter",160
81500,"Closed fracture of metacarpal bone(s), site unspecified",160
7866,"Swelling, mass, or lump in chest",160
99812,Hematoma complicating a procedure,160
30391,"Other and unspecified alcohol dependence, continuous",159
K861,Other chronic pancreatitis,159
H532,Diplopia,159
9594,"Hand, except finger injury",158
4254,Other primary cardiomyopathies,158
6989,Unspecified pruritic disorder,158
3804,Impacted cerumen,157
E9503,Suicide and self-inflicted poisoning by tranquilizers and other psychotropic agents,157
475,Peritonsillar abscess,157
R1010,"Upper abdominal pain, unspecified",157
F0781,Postconcussional syndrome,157
S270XXA,"Traumatic pneumothorax, initial encounter",156
M79641,Pain in right hand,156
H8110,"Benign paroxysmal vertigo, unspecified ear",156
6110,Inflammatory disease of breast,156
45342,Acute venous embolism and thrombosis of deep vessels of distal lower extremity,156
S61210A,"Laceration without foreign body of right index finger without damage to nail, initial encounter",155
I472,Ventricular tachycardia,154
57450,"Calculus of bile duct without mention of cholecystitis, without mention of obstruction",154
S72142A,"Displaced intertrochanteric fracture of left femur, initial encounter for closed fracture",154
99679,"Other complications due to other internal prosthetic device, implant, and graft",154
3071,Anorexia nervosa,154
S300XXA,"Contusion of lower back and pelvis, initial encounter",154
Z9282,Status post administration of tPA (rtPA) in a different facility within the last 24 hours prior to admission to current facility,153
M6282,Rhabdomyolysis,153
64003,"Threatened abortion, antepartum condition or complication",153
D708,Other neutropenia,153
G939,"Disorder of brain, unspecified",153
B1920,Unspecified viral hepatitis C without hepatic coma,153
4271,Paroxysmal ventricular tachycardia,152
2189,"Leiomyoma of uterus, unspecified",152
M25521,Pain in right elbow,152
56969,Other colostomy and enterostomy complication,151
8408,Sprains and strains of other specified sites of shoulder and upper arm,151
T83098A,"Other mechanical complication of other urinary catheter, initial encounter",151
K5190,"Ulcerative colitis, unspecified, without complications",151
463,Acute tonsillitis,151
64093,"Unspecified hemorrhage in early pregnancy, antepartum condition or complication",151
80702,Closed fracture of two ribs,150
78639,Other hemoptysis,150
K651,Peritoneal abscess,150
5224,Acute apical periodontitis of pulpal origin,150
47819,Other disease of nasal cavity and sinuses,149
M797,Fibromyalgia,149
J101,Influenza due to other identified influenza virus with other respiratory manifestations,149
78492,Jaw pain,149
S025XXA,"Fracture of tooth (traumatic), initial encounter for closed fracture",148
81305,Closed fracture of head of radius,148
4739,Unspecified sinusitis (chronic),148
K644,Residual hemorrhoidal skin tags,148
7843,Aphasia,147
3102,Postconcussion syndrome,147
S61213A,"Laceration without foreign body of left middle finger without damage to nail, initial encounter",147
M7910,"Myalgia, unspecified site",146
V4582,Percutaneous transluminal coronary angioplasty status,145
45341,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity,144
H5712,"Ocular pain, left eye",143
S065X9A,"Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, initial encounter",143
